,VarImp,STD
hi_Tyrosine,3.6063121407922067,0.035429213494989224
hi_Tryptophan,3.4550584431654907,0.03368049027448731
hi_UDP.glucose,3.43351668286587,0.033688605942923555
hi_Serine,3.400753526339924,0.03330508174301568
hi_Phenylalanine,3.3814152692950272,0.03309706648048291
hi_Methionine,3.3480176916763074,0.03270211144299073
hi_Valine,3.331823209435472,0.03251272033681672
hi_Isoleucine,3.3303286059370563,0.03249261081861054
hi_X2.3phosphoglycerate,3.1645068020116227,0.03187438107653058
hi_Threonine,3.1603612591534795,0.0329608255482293
hi_Leucine,3.1391746248327337,0.030256587407556917
hi_Proline,3.070771215834542,0.029777175481007518
hi_Aspartic.acid,3.0272660657482873,0.029475937207606596
hi_Gln.6.P,2.934770374072629,0.030556087137168977
hi_Phosphoenolpyruvate,2.8501407007802477,0.02875341106831912
hi_CMP,2.836047470796494,0.028065418620813135
hi_Arginine,2.806910197693275,0.027442590224342388
hi_Fumarate,2.751954612308982,0.027530408215939727
hi_Malate,2.749403183640877,0.02745923277386305
hi_GMP,2.726734851487502,0.027527703883333525
hi_S.adenosylmethionine,2.645374443351107,0.025506278657083072
hi_Kynurenine,2.5961914319646096,0.027740153138649457
hi_CTP,2.5332166096599775,0.024147835484600536
hi_Inosine,2.5236934231582775,0.02521495098466848
hi_totalSignal,2.504721555032123,0.025336218075453058
NA_C507,2.4345851693555507,0.025064572727131588
hi_GDP,2.4195030020923105,0.02541480851798218
hi_Ornithine,2.4133754595925905,0.025734597187687974
hi_Citrulline,2.4083055225694285,0.02292033726292572
hi_Cytidine,2.4082072672632777,0.02322639483734959
hi_UMP,2.4029457990304466,0.02564691350208635
hi_Hypoxanthine,2.4008366382564468,0.02423739999335805
hi_Arginosuccinate,2.3972807321019425,0.02476557593027479
hi_CySSG,2.392553147155246,0.025932995171702267
hi_Inosine.monophosphate,2.3542221762784004,0.023154605128281085
hi_Glutamine,2.326132167431022,0.024318119570352036
hi_Asparagine,2.288401946984304,0.02274238843177465
hi_Glutathione,2.244732399770309,0.023505568260986633
AA_arginine.3tms.,2.2376380164750636,0.025518479262749142
hi_Glycerol.3.P,2.2160727560035,0.027398341614693594
AA_lysine.3tms,2.1914798315682087,0.0255953709810247
hi_GSSG,2.190381673226356,0.025825248581862713
hi_GTP,2.190343893777348,0.023556754233534552
AA_isoleucine.2tms,2.1730255986861082,0.02562494686761937
hi_Dihydroxyacetone.phosphate,2.153081044566938,0.02425240220026943
AA_valine.2tms,2.1495748561918444,0.025014945233808168
AA_aspartic.acid.2tms,2.1419544973623545,0.027062982199771463
AA_tyrosine.3tms,2.120774046379412,0.024513992378412022
AA_Proline.2tms,2.1032596754089155,0.024714886354427833
hi_X6.phosphogluconate,2.095153931416428,0.026917669570219512
hi_FAD,2.0814305253221046,0.02223188017403358
hi_AMP,2.061156982797171,0.024880928365440255
hi_Deoxyguanosine,2.0559576620906768,0.023542243381206397
AA_leucine.2tms,2.0468384009762177,0.024360154036208014
AA_Glycine.2tms,2.0408485414432014,0.0242046118058275
NA_NA114002 (classified unknown),2.034154180971761,0.022168443273539423
NA_C180,1.989365863765397,0.02165914579269916
NA_C287,1.988070553202588,0.02529624553922456
AA_histidine.3tms,1.9697367130523198,0.02313499928382261
NA_C153,1.9681614028360312,0.030756052297163144
AA_serine.3tms,1.9660449464794212,0.023834301383813792
hi_Dihydroorotate,1.9635169564286317,0.020911190576229168
AA_Threonine.3tms,1.9449661731111627,0.024825308560243953
NA_C745,1.92942173417038,0.02584470530880324
NA_Hydroxylamine (3TMS),1.9286556784857323,0.019946006604039668
AA_glutamic.acid.3tms,1.9204710100740041,0.023600303223938995
NA_C115,1.911213005836056,0.022696505342672865
NA_N-Carboxyglycine (3TMS),1.9016831076459422,0.028299456849972336
AA_Phenylalanine.2tms,1.8558532130595484,0.022270950855725453
hi_NAD,1.8503491399745273,0.020279470228695137
NA_C780,1.8448218787103932,0.020802583233690653
hi_NADH,1.8440247104322334,0.021622210048946395
hi_Urea,1.8424841169892154,0.020091453320219093
"NA_Isovaleric acid, 2-oxo- (1MEOX) (1TMS) MP",1.8376124048036546,0.019933670362854625
hi_Deoxyinosine.Monophosphate,1.835470486225937,0.020158279767360954
hi_Glycerate,1.82547571192288,0.01999388057782325
hi_Orotate,1.8233622034054395,0.020030307548091382
hi_Uridine,1.8158239062514323,0.020324197699714983
hi_cyclic.AMP,1.8147510435412395,0.01990353800851834
hi_Adenosine,1.8146710233586605,0.019937448801501015
hi_F.1.6.P,1.814345249380814,0.019880646004092496
hi_Glycerophosphocholine,1.8112517434585131,0.019886563055863116
hi_Deoxyuridine,1.806234554252355,0.019862100115915583
NA_C417,1.7965619431016877,0.026256344295194266
NA_NA_7,1.7938896819679249,0.021647580237441472
AA_alanine.2tms,1.7895164196334745,0.021536228844636504
AA_aspartic.acid.3tms,1.7781753578677144,0.02401327320941875
hi_Hydroxyproline,1.775184085263181,0.020730443767186225
NA_C448,1.7634691398693179,0.02476097448708544
NA_C678,1.7362559337281784,0.0192392338856408
NA_C857,1.7339479839731429,0.02324246380685433
"NA_Pyridine, 2,3-dihydroxy- (2TMS)",1.7312587685430525,0.020441379034877024
hi_NADPH,1.711260708729272,0.02006311161652041
hi_Methionine.SO,1.6985831748783993,0.020592902005030375
hi_NADP,1.692215767300844,0.019866514096496306
hi_Adenine,1.681650700897606,0.018838936279300753
NA_C542,1.6640549360081325,0.026876501531794297
hi_F.6.P,1.6320956393912966,0.02228900483746712
NA_C142,1.631925173439381,0.02163525537863014
NA_C253,1.6305305613876966,0.025608042405181695
